"Landscape with Figures","有人影的远景"
"by Ernest Hemingway","作者：欧内斯特·海明威"
"It was very strange in that house.","那栋房子里的情况奇怪极了。"
"The elevator, of course, no longer ran.","电梯自然早已停开。"
"The steel column it slid up and down on was bent and there were several marble stairs in the six flights which were broken so that you had to walk carefully on the edges as you climbed so that you would not fall through.","它顺着上下滑动的那根钢柱也已经弯曲了。六层的大理石楼梯，有好几级都破裂了，所以爬楼梯时，你必须小心地踩在边上，免得掉下去。"
"There were doors which opened onto rooms where there were no longer any rooms and you could swing a perfectly sound-looking door open and step across the door sill into space: that floor and the next three floors below having been blasted out of the front of the apartment house by direct hits by high explosive shells.","有些通向房间的门后面其实早已没有了房间。要是你扭开一扇看上去完好无损的门，一脚跨过门槛，便很可能踩空：这座公寓楼曾被高爆炮弹直接击中，四楼和底下三层的正面都被炸掉了。"
"Yet the two top floors had four rooms on the front of the house which were intact and there was still running water in the back rooms on all of the floors.","但是最高两层的正面倒有四个房间还完好无损，所有楼层背面的房间也都还有自来水。"
"We called this house the Old Homestead.","我们叫这栋房子“老宅子”。"
"The front line had, at the vey worst moment, been directly below this apartment house along the upper edge of the little plateau that the boulevard circled and the trench and the weather-rotted sandbags were still there.","在战争最严峻的时候，前线就在这栋公寓的正下方，位于林阴大道环绕的小高地顶上的边沿。战壕和被淋坏晒烂的沙袋至今仍在原处。"
"They were so close you could throw a broken tile or a piece of mortar from the smashed apartment house down into them as you stood on one of the balconies.","它们是那么近，以至于站在这座残破公寓的一个阳台上，你就可以扔块破瓦或者灰泥片过去。"
"But now the line had been pushed down from the lip of the plateau, across the river and up into the pine-studded slope of the hill that rose behind the old royal hunting lodge that was called the Caso del Campo.","但现在前线已经从高地边沿推进到了河对岸松树散布的山坡上，那座小山就耸立在一个叫“村舍”的旧日皇家猎舍后面。"
