"From Each According to His Ability","各尽所能"
"by O. Henry","作者：欧·亨利"
"Vuyning left his club, cursing it softly, without any particular anger.","维宁离开了俱乐部，嘴里轻声咒骂着，其实没有什么惹他生气的事情。"
"From ten in the morning until eleven it had bored him immeasurably.","上午十点到十一点这段时间真是让他烦透了。"
"Kirk with his fish story, Brooks with his Porto Rico cigars, old Morrison with his anecdote about the widow, Hepburn with his invariable luck at billiards—all these afflictions had been repeated without change of bill or scenery.","柯克老是吹牛，布鲁克斯仍抽着他的波多黎各雪茄，老莫里森又在讲那个寡妇的风流韵事，赫伯恩打台球的运气一成不变——这些烦恼每天都一成不变地重复上演。"
"Besides these morning evils Miss Allison had refused him again on the night before.","除了上午这些烦心事之外，艾莉森小姐昨天晚上又一次拒绝了他。"
"But that was a chronic trouble.","不过这个烦恼由来已久了。"
"Five times she had laughed at his offer to make her Mrs. Vuyning.","他已经向她求过五次婚，每次都被她嘲笑一番。"
"He intended to ask her again the next Wednesday evening.","他打算下周三晚上再向她求一次婚。"
"Vuyning walked along Forty-fourth Street to Broadway, and then drifted down the great sluice that washes out the dust of the gold-mines of Gotham.","维宁沿着第四十四大街走到百老汇大街，然后顺着冲洗哥谭镇金矿泥沙的洗矿槽走下去。"
"He wore a morning suit of light gray, low, dull kid shoes, a plain, finely woven straw hat, and his visible linen was the most delicate possible shade of heliotrope.","他身穿一套浅灰色西服，脚蹬一双暗色浅口小山羊皮皮鞋，头戴一顶编织精致的草帽，亚麻衬衫是最浅的淡紫色。"
"His necktie was the blue-gray of a November sky, and its knot was plainly the outcome of a lordly carelessness combined with an accurate conception of the most recent dictum of fashion.","他的领带是十一月天空的蓝灰色，领带结看似打得漫不经心，却完全符合最新的潮流。"
"Now, to write of a man’s haberdashery is a worse thing than to write a historical novel “around” Paul Jones, or to pen a testimonial to a hay-fever cure.","当今，描写男士的服饰衣着比写一部关于保尔·琼斯的历史小说，或者开具花粉病治愈的证明更为糟糕。"
"Therefore, let it be known that the description of Vuyning’s apparel is germane to the movements of the story, and not to make room for the new fall stock of goods.","因此，需要说明一下，关于维宁衣着的描写与故事情节的发展密切相关，而不是为了展示秋季商品的最新款式。"
"Even Broadway that morning was a discord in Vuyning’s ears; and in his eyes it paralleled for a few dreamy, dreary minutes a certain howling, scorching, seething, malodorous slice of street that he remembered in Morocco.","那天早晨，即使百老汇大街在维宁耳中也是嘈杂一片；在那如梦般阴郁的几分钟里，他一度把它看作是记忆中摩洛哥的一段喧嚣、吵闹、炎热、散发着臭味的街道。"
"He saw the struggling mass of dogs, beggars, fakirs, slave-drivers and veiled women in carts without horses, the sun blazing brightly among the bazaars, the piles of rubbish from ruined temples in the street—and then a lady, passing, jabbed the ferrule of a parasol in his side and brought him back to Broadway.","他似乎看到一群吵吵嚷嚷的狗、乞丐、苦行僧、奴隶监工以及坐在没有马的车子里戴着面纱的妇女；阳光毒辣辣地照着集市，四处是寺庙废墟的残砖断瓦——这时，一个路过的妇女将阳伞柄戳在了他的腰上，将他带回到现实的百老汇大街上。"
"Five minutes of his stroll brought him to a certain corner, where a number of silent, pale-faced men are accustomed to stand, immovably, for hours, busy with the file blades of their penknives, with their hat brims on a level with their eyelids.","他溜达了五分钟后，到了一个街角。很多面色苍白、沉默寡言的男人经常在这里一站就是几个钟头，一动不动，摆弄着折叠刀上的指甲锉，他们的帽檐低低地压在眼皮上。"
"Wall Street speculators, driving home in their carriages, love to point out these men to their visiting friends and tell them of this rather famous lounging-place of the “crooks.”","华尔街的投机商坐马车回家时，总喜欢将这些人指给他们来访的朋友看，并告诉他们这是“恶棍们”闲混的著名地点。"
"On Wall Street the speculators never use the file blades of their knives.","投机商们从不在华尔街上使用指甲锉。"
"Vuyning was delighted when one of this company stepped forth and addressed him as he was passing.","维宁经过这些人时，其中一人走上前来跟他打招呼，这让维宁感到很高兴。"
"He was hungry for something out of the ordinary, and to be accosted by this smooth-faced, keen-eyed, low-voiced, athletic member of the under world, with his grim, yet pleasant smile, had all the taste of an adventure to the convention-weary Vuyning.","他正渴望一些不寻常的事情发生，所以有这样一个面庞光洁、目光锐利、声音低沉、体格健壮的下层社会的人带着冷酷却令人愉快的微笑过来搭讪，对于厌倦社会习俗的维宁来说极具冒险的意味。"
"“Excuse me, friend,” said he.","“打扰了，朋友。”那人说，"
"“Could I have a few minutes’ talk with you—on the level?”","“我可以跟你谈几分钟吗？——非常坦率的那种谈话。”"
"“Certainly,” said Vuyning, with a smile.","“当然可以，”维宁微笑着说，"
"“But, suppose we step aside to a quieter place.","“但我们不妨找个安静的地方。"
"There is a divan—a café over here that will do.","有个咖啡馆——这边这个就可以。"
"Schrumm will give us a private corner.”","施拉姆会为我们找个清静的角落。”"
"Schrumm established them under a growing palm, with two seidls between them.","施拉姆将他们安排在一棵棕榈树下，给他们拿了两大杯啤酒。"
"Vuyning made a pleasant reference to meteorological conditions, thus forming a hinge upon which might be swung the door leading from the thought repository of the other.","维宁愉快地谈了几句关于天气的话，从而打开了对方的思路。"
"“In the first place,” said his companion, with the air of one who presents his credentials, “I want you to understand that I am a crook.","“首先，”他的同伴带着一种证明自己身份的样子说，“我希望你知道我是个骗子。”"
"Out West I am known as Rowdy the Dude.","在西部，人们都叫我‘花花公子罗迪’。"
"Pickpocket, supper man, second-story man, yeggman, boxman, all-round burglar, cardsharp and slickest con man west of the Twenty-third Street ferry landing—that’s my history.","第二十三大街轮渡码头以西有名的扒手、飞贼、开保险箱的大盗、拳击手、无所不能的盗贼、玩牌作弊的赌棍和最狡猾的骗子——这就是我的经历。"
"That’s to show I’m on the square—with you.","说这些是为了证明我对你开诚布公。"
"My name’s Emerson.”","我叫埃默森。”"
"“Confound old Kirk with his fish stories,” said Vuyning to himself, with silent glee as he went through his pockets for a card.","“这下老柯克可吹不成牛了。”维宁一边暗自高兴地想着，一边从口袋里掏他的名片。"
"“It’s pronounced ‘Vining,’” he said, as he tossed it over to the other.","“我叫维宁，”他说着把名片扔给了对方，"
"“And I’ll be as frank with you.","“我也会对你开诚布公。"
"I’m just a kind of a loafer, I guess, living on my daddy’s money.","我想我算是那种游手好闲的人，靠我老爸的钱过日子。"
"At the club they call me ‘Left-at-the-Post.’","俱乐部的人都称我是‘留局待领’。"
"I never did a day’s work in my life; and I haven’t the heart to run over a chicken when I’m motoring.","我这辈子，没干过一天活；开车的时候连轧死一只小鸡的勇气也没有。"
"It’s a pretty shabby record, altogether.”","总之我的记录平庸得很。”"
"“There’s one thing you can do,” said Emerson, admiringly; “you can carry duds.","“有一件事你能做到，”埃默森不无羡慕地说，“你是个衣服架子。"
"I’ve watched you several times pass on Broadway.","我几次看见你路过百老汇大街。"
"You look the best dressed man I’ve seen.","你是我见过的着装最得体的人。"
"And I’ll bet you a gold mine I’ve got $50 worth more gent’s furnishings on my frame than you have.","我敢跟你赌一座金矿，我这身穿着比你的贵出五十美元。"
"That’s what I wanted to see you about.","这就是我想请教你的地方。"
"I can’t do the trick.","我怎么穿都不行。"
"Take a look at me.","你看看我。"
"What’s wrong?”","问题出在哪儿呢？”"
"“Stand up,” said Vuyning.","“你站起来。”维宁说。"
"Emerson arose, and slowly revolved.","埃默森依言起立，并缓慢转动身体。"
"“You’ve been ‘outfitted,’” declared the clubman.","“你确实‘装备’了一番。”维宁说道，"
"“Some Broadway window-dresser has misused you.","“你被百老汇的橱窗设计师坑了。"
"That’s an expensive suit, though, Emerson.”","不过这套衣服可是价格不菲呀，埃默森。”"
"“A hundred dollars,” said Emerson.","“一百美元。”埃默森说。"
"“Twenty too much,” said Vuyning.","“多花了二十美元，”维宁说道，"
"“Six months old in cut, one inch too long, and half an inch too much lapel.","“式样过时了六个月，上衣长了一寸，翻领宽了半寸。"
"Your hat is plainly dated one year ago, although there’s only a sixteenth of an inch lacking in the brim to tell the story.","你的帽子很明显是一年前的式样，虽然帽檐只窄了十六分之一寸。"
"That English poke in your collar is too short by the distance between Troy and London.","你硬领的英式衬头实在短了太多。"
"A plain gold link cuff-button would take all the shine out of those pearl ones with diamond settings.","纯金的衬衫袖口链扣会比珍珠镶钻的更显眼。"
"Those tan shoes would be exactly the articles to work into the heart of a Brooklyn school-ma’am on a two weeks’ visit to Lake Ronkonkoma.","你脚上那双黄皮鞋，只能用来打动去隆贡科马湖度假的布鲁克林女教师的芳心。"
"I think I caught a glimpse of a blue silk sock embroidered with russet lilies of the valley when you—improperly—drew up your trousers as you sat down.","刚才你坐下的时候，你提了一下裤子——这不合礼仪——我瞥见你穿了绣着黄褐色铃兰花样的蓝色丝袜。"
"There are always plain ones to be had in the stores.","单色无花的袜子很容易在百货商店里买到。"
"Have I hurt your feelings, Emerson?”","我这么说是不是伤了你的自尊，埃默森。”"
"“Double the ante!” cried the criticised one, greedily.","“赌注加倍！”挨批评的人贪婪地喊道，"
"“Give me more of it.","“再多指点儿我一些吧。"
"There’s a way to tote the haberdashery, and I want to get wise to it.","如何穿着是门学问，我想了解一下。"
"Say, you’re the right kind of a swell.","嘿，你真懂行。"
"Anything else to the queer about me?”","我身上还有什么不妥的地方吗？”"
"“Your tie,” said Vuyning, “is tied with absolute precision and correctness.”","“你的领带，”维宁说，“打得非常精准，绝对规矩。”"
"“Thanks,” gratefully—“I spent over half an hour at it before I—”","“谢谢，”埃默森感激地说，“我花了半个多小时才——”"
"“Thereby,” interrupted Vuyning, “completing your resemblance to a dummy in a Broadway store window.”","“因此，”维宁插嘴说，“你更像百老汇商店橱窗里的模特了。”"
"“Yours truly,” said Emerson, sitting down again.","“确实如此，”埃默森说着又坐了下来，"
"“It’s bully of you to put me wise.","“你能给我指正真是太好了。"
"I knew there was something wrong, but I couldn’t just put my finger on it.","我知道穿得不对劲，可就是不知道哪儿不对劲。"
"I guess it comes by nature to know how to wear clothes.”","我想穿衣大概也是需要天分的吧。”"
"“Oh, I suppose,” said Vuyning, with a laugh, “that my ancestors picked up the knack while they were peddling clothes from house to house a couple of hundred years ago.","“哦，”维宁大笑道，“我想可能我的祖先在几百年前挨家挨户兜售衣服的时候学会了穿衣的技巧吧。"
"I’m told they did that.”","据说他们是干这一行的。”"
"“And mine,” said Emerson, cheerfully, “were making their visits at night, I guess, and didn’t have a chance to catch on to the correct styles.”","“那我的祖先，”埃默森快活地说，“大概正在夜里串门走户，所以没有机会了解正确的穿戴方式。”"
"“I tell you what,” said Vuyning, whose ennui had taken wings, “I’ll take you to my tailor.","“我跟你说，”维宁已有些倦意，“我带你去我的裁缝那儿。"
"He’ll eliminate the mark of the beast from your exterior.","他会将你外表所有不顺眼的地方统统去掉。"
"That is, if you care to go any further in the way of expense.”","当然，如果你不介意多花些钱的话。”"
"“Play ’em to the ceiling,” said Emerson, with a boyish smile of joy.","“我不在乎花多少钱。”埃默森高兴得像个孩子似的说，"
"“I’ve got a roll as big around as a barrel of black-eyed peas and as loose as the wrapper of a two-for-fiver.","“我的钱多得像桶里的豆子那样不计其数，随我任意花。"
"I don’t mind telling you that I was not touring among the Antipodes when the burglar-proof safe of the Farmers’ National Bank of Butterville, Ia., flew open some moonless nights ago to the tune of $16,000.”","我不妨告诉你，前些时候的一天夜里，爱荷华州巴特维尔国家农业银行的防盗保险柜被撬，丢失了一万六千元，我那个时候可没在新西兰安蒂波德斯群岛旅游。”"
"“Aren’t you afraid,” asked Vuyning, “that I’ll call a cop and hand you over?”","“你难道不怕我叫警察把你抓走吗？”维宁问道。"
"“You tell me,” said Emerson, coolly, “why I didn’t keep them.”","“我知道你不会，”埃默森冷静地说，“所以我把它们还给你。”"
"He laid Vuyning’s pocketbook and watch—the Vuyning 100-year-old family watch—on the table.","他把维宁的钱包和怀表——维宁家传百年的怀表——放在了桌上。"
"“Man,” said Vuyning, revelling, “did you ever hear the tale Kirk tells about the six-pound trout and the old fisherman?”","“嗨，”维宁兴奋地说，“你有没有听过柯克讲的六镑重的鲑鱼和老渔夫的故事？”"
"“Seems not,” said Emerson, politely.","“好像没有，”埃默森礼貌地说，"
