"书名（英文）","书名","fenlei","nianling","bid"
"A Fable","寓言一则","双语阅读","7-9岁","xin001"
"A Ghost Story","鬼故事","双语阅读","7-9岁","xin002"
"A Mother of Monsters","怪物之母","双语阅读","7-9岁","xin003"
"A New Beecher Church ","一座新比彻教堂","双语阅读","7-9岁","xin004"
"Ball-Carrier and the Bad One","魔球小子和坏人","双语阅读","7-9岁","xin005"
"Brief Biographical Sketch of George Washington","乔治·华盛顿外传","双语阅读","10-12岁","xin006"
"Confessing","招供","双语阅读","10-12岁","xin007"
"Father Grumbler","牢骚父亲","双语阅读","7-9岁","xin008"
"How Geirald the Coward was Punished","懦夫盖拉尔德受惩记","双语阅读","7-9岁","xin009"
"Legend of Sagenfeld, in Germany","德国萨根菲尔德的传说","双语阅读","10-12岁","xin010"
"Niagara","尼亚加拉","双语阅读","10-12岁","xin011"
"Old Judas","犹大老爹","双语阅读","10-12岁","xin012"
"The Cripple","跛子","双语阅读","10-12岁","xin013"
"The Cunning Hare","聪明的兔子","双语阅读","7-9岁","xin014"
"The Sacred Milk of Koumongoe","科蒙戈树的神圣汁液","双语阅读","7-9岁","xin015"
"The Stolen White Elephant","被偷的白象","双语阅读","10-12岁","xin016"
"The Story of the Bad Little Boy","坏孩子的故事","双语阅读","7-9岁","xin017"
"The Story of the Good Little Boy","好孩子的故事","双语阅读","7-9岁","xin018"
"The Story of the Yara","亚拉的故事","双语阅读","7-9岁","xin019"
"The Substitute","替身","双语阅读","10-12岁","xin020"
"The True Story","真实的故事","双语阅读","10-12岁","xin021"
"The Turning-Point of My Life ","我生命的转折点","双语阅读","10-12岁","xin022"
"The Turtle and His Bride","海龟和他的新娘","双语阅读","7-9岁","xin023"
"The White Monkey","白猿","双语阅读","10-12岁","xin024"
"A Changed Man","脱胎换骨的人","双语阅读","10-12岁","xin025"
"A Committee-Man of ‘The Terror’","“恐怖统治”时期的一名委员","双语阅读","10-12岁","xin026"
"A Sale","一笔买卖","双语阅读","10-12岁","xin027"
"Clair de Lune","月光","双语阅读","10-12岁","xin028"
"Enter a Dragoon","晚到的骑兵","双语阅读","10-12岁","xin029"
"Episode","插曲","双语阅读","10-12岁","xin030"
"How I Edited An Agricultural Paper","我是如何编辑农业报的","双语阅读","10-12岁","xin031"
"Little Thumb","小拇指","双语阅读","7-9岁","xin032"
"Master John Horseleigh, Knight","约翰·霍斯利爵士","双语阅读","10-12岁","xin033"
"Our Letters","我们的信","双语阅读","10-12岁","xin034"
"Suicides","自杀事件","双语阅读","10-12岁","xin035"
"The Bronze Ring","铜指环","双语阅读","7-9岁","xin036"
"The Curious Dream","奇怪的梦","双语阅读","10-12岁","xin037"
"The Master of Ballantrae","巴伦特雷少爷","双语阅读","10-12岁","xin038"
"The Tale of a Youth Who Set Out to Learn What Fear Was","学发抖的年轻人","双语阅读","7-9岁","xin039"
"Asmund and Signy","阿斯木得和西格尼","双语阅读","7-9岁","xin040"
"El Verdugo","刽子手","双语阅读","10-12岁","xin041"
"Habogi","哈博基","双语阅读","7-9岁","xin042"
"How Ball-Carrier Finished His Task","带球人是怎样完成他的任务的","双语阅读","7-9岁","xin043"
"How the Little Brother Set Free His Big Brothers","弟弟救哥哥","双语阅读","7-9岁","xin044"
"Kisa the Cat","一只名叫基萨的猫","双语阅读","7-9岁","xin045"
" October and June","十月和六月","双语阅读","10-12岁","xin046"
"Rubezahl","鲁贝察尔","双语阅读","7-9岁","xin047"
"Story of the King Who Would Be Stronger Than Fate","想战胜命运的国王","双语阅读","7-9岁","xin048"
"Tale of a Tortoise and of a Mischievous Monkey","一只乌龟的故事和一只淘气猴子的故事","双语阅读","7-9岁","xin049"
"The Champion of the Weather","天气寒暄冠军","双语阅读","10-12岁","xin050"
"The Day We Celebrate","我们庆祝的日子","双语阅读","10-12岁","xin051"
"The Diamond of Kali","迦梨女神的钻石","双语阅读","10-12岁","xin052"
"The Forty Thieves","四十大盗","双语阅读","7-9岁","xin053"
"The Fox and the Lapp","狐狸和拉普人","双语阅读","7-9岁","xin054"
"The Greater Coney","大科尼岛","双语阅读","10-12岁","xin055"
"The Husband of the Rat’s Daughter","老鼠嫁女","双语阅读","7-9岁","xin056"
"The Killing of Julius Caesar “Localized”","尤利乌斯·恺撒之死的“本地报道”","双语阅读","10-12岁","xin057"
"The Knights of the Fish","鱼骑士","双语阅读","7-9岁","xin058"
"The Lady Higher up","高高在上的女士","双语阅读","10-12岁","xin059"
"The Melancholy Hussar of the German Legion","德意志军团里忧郁的轻骑兵","双语阅读","10-12岁","xin060"
"The Mermaid and the Boy","美人鱼与男孩","双语阅读","7-9岁","xin061"
"The Pride of the Cities","城市的骄傲","双语阅读","10-12岁","xin062"
"The Prussian Officer","普鲁士军官","双语阅读","10-12岁","xin063"
"The Sister of the Sun","太阳妹妹","双语阅读","7-9岁","xin064"
"The Sleeping Beauty in the Wood","林中的睡美人","双语阅读","7-9岁","xin065"
"The Sleuths","侦探","双语阅读","10-12岁","xin066"
"The Wicked Wolverine","邪恶的狼獾","双语阅读","7-9岁","xin067"
"To Please His Wife","博妻欢心","双语阅读","10-12岁","xin068"
"Transformation of Martin Burney","马丁·伯尼的转变","双语阅读","10-12岁","xin069"
"Ulysses and the Dogman","尤利西斯和狗人","双语阅读","10-12岁","xin070"
"What the Rose did to the Cypress[1]","玫瑰对柏树做了什么","双语阅读","7-9岁","xin071"
"Which Was the Foolishest","谁的丈夫更蠢","双语阅读","7-9岁","xin072"
"In the Days of the Comet","彗星来临","双语阅读","10-12岁","xin073"
"The Atheist's Mass ","无神论者做弥撒 ","双语阅读","10-12岁","xin074"
"Facino Cane ","法西诺·卡内 ","双语阅读","10-12岁","xin075"
"The Message ","信使 ","双语阅读","10-12岁","xin076"
"The Plutonian Fire ","地狱之火 ","双语阅读","10-12岁","xin077"
"The Rathskeller and the Rose ","地下餐馆和玫瑰 ","双语阅读","10-12岁","xin078"
"The Shocks of Doom ","命运的震荡 ","双语阅读","10-12岁","xin079"
"While the Auto Wsits ","汽车等待的时候 ","双语阅读","10-12岁","xin080"
